"Qty";"Value";"Device";"Package";"Parts";"Description";"FABRICANTE";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNUMBER";"POPULARITY";"SPICEPREFIX";"TIPO";"TP_SIGNAL_NAME";
"4";"";"AK500/2";"AK500/2";"IA, IB, IC, IN";"CONNECTOR";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"AK500/3";"AK500/3";"PWR";"CONNECTOR";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"AK500/4";"AK500/4";"V";"CONNECTOR";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"DCBARRELPTH";"DCJACK_2MM_PTH";"JACK5V";"2.0mm DC Barrel Jack";"";"";"";"";"";"";"";"";"";"";
"3";"";"PINHD-1X3";"1X03";"PM0, PM1, PM2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X7";"1X07";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"PULLUP";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";
"1";"";"SJ2W";"SJ_2";"SJ1";"SMD solder JUMPER";"";"";"";"";"";"";"7";"";"";"";
"1";"";"TACTILE_SWITCHPTH";"TACTILE_SWITCH_PTH";"RESET";"Chave Tactil-Switch";"METALTEX";"";"";"";"";"A06";"";"";"BOTAO";"";
"4";"0603";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";"";"";"";"";"";"";
"6";"100n 0603";"C0603";"0603_IMPERIAL";"C1, C4, C7, C10, C31, C32";"Capacitor cerâmico SMD (C0603)";"";"";"";"";"";"";"";"";"CAPACITOR";"";
"5";"10k 0603";"R0603";"0603_IMPERIAL";"R2, R11, R12, R13, R14";"Resistor SMD (R0603)";"";"";"";"";"";"";"";"";"RESISTOR";"";
"3";"10u 1206";"C1206";"1206_IMPERIAL";"C2, C5, C9";"Capacitor SMD (C1206)";"";"";"";"";"";"";"";"";"CAPACITOR";"";
"1";"16.384MHz";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";"";"";"unknown";"unknown";"";"";"";"";"";
"8";"18n - 2.4R 0603";"C0603";"0603_IMPERIAL";"C22, C23, C24, C25, C26, C27, C28, C29";"Capacitor cerâmico SMD (C0603)";"";"";"";"";"";"";"";"";"CAPACITOR";"";
"14";"18n 0603";"C0603";"0603_IMPERIAL";"C3, C6, C8, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21";"Capacitor cerâmico SMD (C0603)";"";"";"";"";"";"";"";"";"CAPACITOR";"";
"8";"1k - 0R 0603";"R0603";"0603_IMPERIAL";"R38, R39, R44, R45, R51, R52, R53, R54";"Resistor SMD (R0603)";"";"";"";"";"";"";"";"";"RESISTOR";"";
"11";"1k 0603";"R0603";"0603_IMPERIAL";"R35, R36, R40, R41, R43, R46, R47, R49, R50, R55, R56";"Resistor SMD (R0603)";"";"";"";"";"";"";"";"";"RESISTOR";"";
"3";"1k 0805";"R0805";"0805_IMPERIAL";"R10, R23, R32";"Resistor SMD R0805";"";"";"";"";"";"";"";"";"RESISTOR";"";
"1";"2.2u";"CPOL-EUE2.5-5";"E2,5-5";"C30";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"21";"240k 0805";"R0805";"0805_IMPERIAL";"R3, R4, R5, R6, R7, R8, R9, R16, R17, R18, R19, R20, R21, R22, R25, R26, R27, R28, R29, R30, R31";"Resistor SMD R0805";"";"";"";"";"";"";"";"";"RESISTOR";"";
"4";"510R 0603";"R0603";"0603_IMPERIAL";"R34, R37, R42, R48";"Resistor SMD (R0603)";"";"";"";"";"";"";"";"";"RESISTOR";"";
"28";"EDGE";"EDGE";"EDGE";"U$1, U$2, U$3, U$4, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12, U$13, U$14, U$15, U$16, U$17, U$18, U$19, U$20, U$21, U$22, U$23, U$24, U$25, U$26, U$27, U$28";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM1117-TO-220";"LM1117-TO-220";"TO-220";"U3";"";"";"";"";"";"";"";"";"";"";"";
"1";"M90E36A";"M90E36A";"TQFP-48";"U1";"Poly-Phase High-Performance Energy Metering IC (TQFP48)";"ATMEL";"";"";"";"";"ATM90E36A-AU-Y";"";"";"CIRCUITO INTEGRADO";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";
"3";"PTR1TP19R";"PTR1TP19R";"TP19R";"1V8, 3V3_ISO, GND_ISO";"TEST PIN";"";"";"";"";"";"";"";"";"";"";
